"Date d'admission","Hors soins intensifs","Aux soins intensifs"
"2021-01-29 00:00:00",22,5
"2021-01-30 00:00:00",22,4
"2021-01-31 00:00:00",23,6
"2021-02-01 00:00:00",19,6
"2021-02-02 00:00:00",23,3
"2021-02-03 00:00:00",27,3
"2021-02-04 00:00:00",21,3
"2021-02-05 00:00:00",24,7
"2021-02-06 00:00:00",32,8
"2021-02-07 00:00:00",12,3
"2021-02-08 00:00:00",13,3
"2021-02-09 00:00:00",18,7
"2021-02-10 00:00:00",12,5
"2021-02-11 00:00:00",20,6
"2021-02-12 00:00:00",13,5
"2021-02-13 00:00:00",17,1
"2021-02-14 00:00:00",9,2
"2021-02-15 00:00:00",17,5
"2021-02-16 00:00:00",16,5
"2021-02-17 00:00:00",11,4
"2021-02-18 00:00:00",17,2
"2021-02-19 00:00:00",17,4
"2021-02-20 00:00:00",11,5
"2021-02-21 00:00:00",11,4
"2021-02-22 00:00:00",11,4
"2021-02-23 00:00:00",10,9
"2021-02-24 00:00:00",20,6
"2021-02-25 00:00:00",25,5
"2021-02-26 00:00:00",15,6
"2021-02-27 00:00:00",9,4
"2021-02-28 00:00:00",14,4
"2021-03-01 00:00:00",11,2
"2021-03-02 00:00:00",18,3
"2021-03-03 00:00:00",21,3
"2021-03-04 00:00:00",15,3
"2021-03-05 00:00:00",8,7
"2021-03-06 00:00:00",12,1
"2021-03-07 00:00:00",13,5
"2021-03-08 00:00:00",20,4
"2021-03-09 00:00:00",13,3
"2021-03-10 00:00:00",14,5
"2021-03-11 00:00:00",14,2
"2021-03-12 00:00:00",15,5
"2021-03-13 00:00:00",9,3
"2021-03-14 00:00:00",11,4
"2021-03-15 00:00:00",7,4
"2021-03-16 00:00:00",12,4
"2021-03-17 00:00:00",13,2
"2021-03-18 00:00:00",12,1
"2021-03-19 00:00:00",7,6
"2021-03-20 00:00:00",8,6
"2021-03-21 00:00:00",14,1
"2021-03-22 00:00:00",11,5
"2021-03-23 00:00:00",8,2
"2021-03-24 00:00:00",10,0
"2021-03-25 00:00:00",9,0
"2021-03-26 00:00:00",18,5
"2021-03-27 00:00:00",10,5
"2021-03-28 00:00:00",7,3
"2021-03-29 00:00:00",8,6
"2021-03-30 00:00:00",10,2
"2021-03-31 00:00:00",15,6
"2021-04-01 00:00:00",22,9
"2021-04-02 00:00:00",10,2
"2021-04-03 00:00:00",9,2
"2021-04-04 00:00:00",5,6
"2021-04-05 00:00:00",10,5
"2021-04-06 00:00:00",8,7
"2021-04-07 00:00:00",8,6
